resort_name|state|region|postal_code|summit|mid_elevation|base|vertical|lifts|runs|acres|green_percent|green_acres|blue_percent|blue_acres|black_percent|black_acres|lat|lon|mid_elevation_meters|timezone|country|ticket_currency|peak_day_ticket_local|peak_day_ticket_usd|advance_day_ticket_local|ticket_basis|map|openmeteo_hourly_api_call
Timberline Lodge - OR|Oregon|Pacific Northwest|97028|8540|6695|4850|3690|7|41|1415|0.25|353.75|0.5|707.5|0.25|353.75|45.33|-121.71|2040.636|America/Los_Angeles|USA|USD|129|129|97|estimate|https://www.onthesnow.com/oregon/timberline-lodge/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.33&longitude=-121.71&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2040.636
Timberline Mountain - WV|West Virginia|Southeast|26260|4268|3768|3268|1000|4|40|100|0.5|50|0.3|30|0.2|20|39.06|-79.4|1148.4864|America/New_York|USA|USD|89|89|78|estimate|https://www.onthesnow.com/west-virginia/timberline-four-seasons/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.06&longitude=-79.4&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1148.4864
Titcomb Mountain - ME|Maine|Northeast|4992|750|575|400|350|2|16|45|0.23|10.35|0.25|11.25|0.52|23.4|44.66|-70.16|175.26|America/New_York|USA|USD|45|45|40|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=44.66&longitude=-70.16&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=175.26
Titus Mountain - NY|New York|Northeast|12953|2440|1840|1240|1200|9|50|380|0.34|129.2|0.38|144.4|0.28|106.4|44.79|-74.24|560.832|America/New_York|USA|USD|65|65|57|estimate|https://www.onthesnow.com/new-york/titus-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.79&longitude=-74.24&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=560.832
Treetops - MI|Michigan|Midwest||1345|1232.5|1120|225|5|23|80|0.14|11.2|0.29|23.2|0.57|45.6|45.09|-84.61|375.666|America/Detroit|USA|USD|65|65|57|estimate|https://www.onthesnow.com/michigan/treetops-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.09&longitude=-84.61&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Detroit&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=375.666
Trollhaugen - WI|Wisconsin|Midwest|54810|1200|1070|940|260|10|24|86|0.22|18.92|0.37|31.82|0.41|35.26|45.29|-92.62|326.136|America/Chicago|USA|USD|69|69|61|estimate|https://www.onthesnow.com/wisconsin/trollhaugen/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.29&longitude=-92.62&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=326.136
Turner Mountain - MT|Montana|Northern Rockies||5952|4897|3842|2110|1|25||0.1||0.3||0.6||48.61|-115.67|1492.6056|America/Denver|USA|USD|55|55|48|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=48.61&longitude=-115.67&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1492.6056
Tussey Mountain - PA|Pennsylvania|Mid-Atlantic|16827|1810|1560|1310|500|5|8|38|1|38|0|0|0|0|40.79|-77.75|475.488|America/New_York|USA|USD|55|55|48|estimate|https://www.onthesnow.com/pennsylvania/tussey-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=40.79&longitude=-77.75&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=475.488
Tyrol Basin - WI|Wisconsin|Midwest||1160|1010|860|300|6|18|32|0.33|10.56|0.25|8|0.42|13.44|43.06|-89.75|307.848|America/Chicago|USA|USD|65|65|57|estimate|https://www.onthesnow.com/wisconsin/tyrol-basin/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.06&longitude=-89.75&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=307.848
Vail - CO|Colorado|Colorado & Utah|81657|11570|9845|8120|3450|31|195|5317|0.23|1222.91|0.34|1807.78|0.44|2339.48|39.64|-106.37|3000.756|America/Denver|USA|USD|330|330|248|published_2526|https://www.onthesnow.com/colorado/vail/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.64&longitude=-106.37&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3000.756
