resort_name|state|region|postal_code|summit|mid_elevation|base|vertical|lifts|runs|acres|green_percent|green_acres|blue_percent|blue_acres|black_percent|black_acres|lat|lon|mid_elevation_meters|timezone|country|ticket_currency|peak_day_ticket_local|peak_day_ticket_usd|advance_day_ticket_local|ticket_basis|map|openmeteo_hourly_api_call
49 Degrees North - WA|Washington|Pacific Northwest|99141|5774|4848.5|3923|1851|6|82|2325|0.3|697.5|0.4|930|0.3|697.5|48.302|-117.567|1477.8228|America/Los_Angeles|USA|USD|89|89|78|estimate|https://www.onthesnow.com/washington/49-degrees-north/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=48.302&longitude=-117.567&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1477.8228
Afton Alps - MN|Minnesota|Midwest|55033|700|525|350|350|18|48|250|0.36|90|0.39|97.5|0.24|60|44.85|-92.79|160.02|America/Chicago|USA|USD|89|89|78|estimate|https://www.onthesnow.com/minnesota/afton-alps/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.85&longitude=-92.79&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=160.02
Alpental - WA|Washington|Pacific Northwest|98068|5420|4275|3130|2290|6|24|825|0.05|41.25|0.26|214.5|0.68|561|47.444153|-121.42593|1303.02|America/Los_Angeles|USA|USD|107|107||published_2526|https://www.onthesnow.com/washington/alpental/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=47.444153&longitude=-121.42593&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1303.02
Alpine Meadows - CA|California|Sierra Nevada|96146|8637|7736|6835|1802|13|100|2400|0.25|600|0.4|960|0.35|840|39.166|-120.239|2357.9328|America/Los_Angeles|USA|USD|289|289|217|estimate|https://www.palisadestahoe.com/mountain-information/trail-maps|https://archive-api.open-meteo.com/v1/archive?latitude=39.166&longitude=-120.239&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2357.9328
Alpine Valley - MI|Michigan|Midwest|48383|1210|1060|910|300|14|25|100|0.34|34|0.36|36|0.3|30|42.72|-83.53|323.088|America/Detroit|USA|USD|55|55|48|estimate|https://www.onthesnow.com/michigan/alpine-valley-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.72&longitude=-83.53&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Detroit&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=323.088
Alpine Valley - OH|Ohio|Midwest|44024|1500|1380|1260|230|6|11|72|0.25|18|0.5|36|0.25|18|41.55|-81.2|420.624|America/New_York|USA|USD|89|89|78|estimate|https://www.onthesnow.com/ohio/alpine-valley/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=41.55&longitude=-81.2&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=420.624
Alpine Valley - WI|Wisconsin|Midwest|53176|1180|986|792|388|16|20|100|0.33|33|0.38|38|0.29|29|42.65|-88.4|300.5328|America/Chicago|USA|USD|65|65|57|estimate|https://www.onthesnow.com/wisconsin/alpine-valley-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.65&longitude=-88.4&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=300.5328
Alta - UT|Utah|Colorado & Utah|84092|10550|9540|8530|2020|11|119|2614|0.15|392.1|0.3|784.2|0.55|1437.7|40.59|-111.64|2907.792|America/Denver|USA|USD|199|199|149|estimate|https://www.onthesnow.com/utah/alta-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=40.59&longitude=-111.64&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2907.792
Alyeska - AK|Alaska|Alaska|99587|2750|1500|250|2500|9|76|1610|0.11|177.1|0.52|837.2|0.37|595.7|60.97|-149.11|457.2|America/Anchorage|USA|USD|129|129|97|estimate|https://www.alyeskaresort.com/mountain-report/|https://archive-api.open-meteo.com/v1/archive?latitude=60.97&longitude=-149.11&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Anchorage&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=457.2
Andes Tower Hills - MN|Minnesota|Midwest|56308|1450|1312.5|1175|275|4|16|35|0.25|8.75|0.06|2.1|0.69|24.15|45.85|-95.36|400.05|America/Chicago|USA|USD|55|55|48|estimate|https://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.85&longitude=-95.36&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=400.05
Angel Fire - NM|New Mexico|Southwest|87710|10677|9638.5|8600|2077|7|80|560|0.22|123.2|0.53|296.8|0.25|140|36.39|-105.29|2937.8148|America/Denver|USA|USD|129|129|97|estimate|https://www.onthesnow.com/new-mexico/angel-fire-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=36.39&longitude=-105.29&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2937.8148
Anthony Lakes - OR|Oregon|Pacific Northwest|97814|8000|7550|7100|900|3|21|1100|0.2|220|0.38|418|0.42|462|44.96|-118.23|2301.24|America/Los_Angeles|USA|USD|65|65|57|estimate|https://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.96&longitude=-118.23&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2301.24
Apex Mountain - BC|British Columbia|Western Canada|V0X 1T0|7197|6197|5197|2000|4|79|1112|0.16|177.92|0.48|533.76|0.36|400.32|49.39|-119.9|1888.8456|America/Vancouver|Canada|CAD|109|78|96|estimate|https://www.onthesnow.com/british-columbia/apex-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=49.39&longitude=-119.9&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Vancouver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1888.8456
Appalachian - NC|North Carolina|Southeast|28604|4000|3817.5|3635|365|6|12|27|0.33|8.91|0.33|8.91|0.33|8.91|36.18|-81.69|1163.574|America/New_York|USA|USD|89|89|78|estimate|https://www.onthesnow.com/north-carolina/appalachian-ski-mtn/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=36.18&longitude=-81.69&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1163.574
Apple Mountain - MI|Michigan|Midwest|48609|820|710|600|220|5|12|80|0.4|32|0.4|32|0.2|16|43.4|-84.09|216.408|America/Detroit|USA|USD|45|45|40|estimate|https://www.onthesnow.com/michigan/apple-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.4&longitude=-84.09&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Detroit&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=216.408
Arapahoe Basin - CO|Colorado|Colorado & Utah|80435|13050|11915|10780|2270|9|147|1428|0.07|99.96|0.2|285.6|0.73|1042.44|39.64|-105.87|3631.692|America/Denver|USA|USD|169|169|127|estimate|https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.64&longitude=-105.87&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3631.692
Arctic Valley - AK|Alaska|Alaska||3900|3200|2500|1400|4|25|320|0.2|64|0.5|160|0.3|96|61.24|-149.51|975.36|America/Anchorage|USA|USD|45|45|40|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=61.24&longitude=-149.51&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Anchorage&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=975.36
Arizona Snowbowl - AZ|Arizona|Southwest|86001|11500|10350|9200|2300|8|55|777|0.27|209.79|0.39|303.03|0.32|248.64|35.33|-111.7|3154.68|America/Phoenix|USA|USD|189|189|142|estimate|https://www.onthesnow.com/arizona/arizona-snowbowl/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=35.33&longitude=-111.7&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Phoenix&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3154.68
Aspen Highlands - CO|Colorado|Colorado & Utah|81611|11675|9857.5|8040|3635|5|144|1040|0|0|0.23|239.2|0.77|800.8|39.18|-106.86|3004.566|America/Denver|USA|USD|264|264|198|estimate|https://www.aspensnowmass.com/four-mountains/aspen-highlands/trail-maps|https://archive-api.open-meteo.com/v1/archive?latitude=39.18&longitude=-106.86&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3004.566
Aspen Mountain - CO|Colorado|Colorado & Utah|81611|11212|9578.5|7945|3267|8|96|675|0|0|0.48|324|0.52|351|39.19|-106.82|2919.5268|America/Denver|USA|USD|264|264|198|estimate|https://www.aspensnowmass.com/four-mountains/aspen-mountain/trail-maps|https://archive-api.open-meteo.com/v1/archive?latitude=39.19&longitude=-106.82&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2919.5268
Attitash - NH|New Hampshire|Northeast|3812|2350|1475|600|1750|10|68|311|0.22|68.42|0.49|152.39|0.29|90.19|44.09|-71.23|449.58|America/New_York|USA|USD|129|129|97|estimate|https://www.onthesnow.com/new-hampshire/attitash/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.09&longitude=-71.23&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=449.58
Badger Mountain - WA|Washington|Pacific Northwest|98858|3800|3400|3000|800|3|5||||||||47.63|-120.06|1036.32|America/Los_Angeles|USA|USD|40|40|35|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=47.63&longitude=-120.06&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1036.32
Bald Mountain - ID|Idaho|Northern Rockies||4800|4400|4000|684|2||140|0.25|35|0.4|56|0.35|49|44.37|-114.35|1341.12|America/Denver|USA|USD||||||https://archive-api.open-meteo.com/v1/archive?latitude=44.37&longitude=-114.35&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1341.12
Banff Sunshine - AB|Alberta|Western Canada|T1L 1J5|8954|7197|5440|3514|12|145|3358|0.19|638.02|0.26|873.08|0.56|1880.48|51.08|-115.78|2193.6456|America/Edmonton|Canada|CAD|179|129|134|estimate|https://www.skibanff.com/explore/trail-maps/|https://archive-api.open-meteo.com/v1/archive?latitude=51.08&longitude=-115.78&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Edmonton&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2193.6456
Bear Creek Mountain - PA|Pennsylvania|Mid-Atlantic|18062|1110|855|600|510|6|21|86|0.45|38.7|0.27|23.22|0.27|23.22|40.51|-75.64|260.604|America/New_York|USA|USD|89|89|78|estimate|https://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=40.51&longitude=-75.64&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=260.604
Bear Mountain - CA|California|Sierra Nevada|92315|8805|7972.5|7140|1665|12|26|198|0.27|53.46|0.42|83.16|0.31|61.38|34.23|-116.86|2430.018|America/Los_Angeles|USA|USD|199|199|149|estimate|https://www.onthesnow.com/california/bear-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=34.23&longitude=-116.86&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2430.018
Bear Paw - MT|Montana|Northern Rockies||5280|4830|4380|900|1|11|80|0.25|20|0.25|20|0.5|40|48.36|-109.62|1472.184|America/Denver|USA|USD|40|40|35|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=48.36&longitude=-109.62&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1472.184
Bear Valley - CA|California|Sierra Nevada|95223|8500|7550|6600|1900|9|75|1680|0.08|134.4|0.21|352.8|0.71|1192.8|38.48|-120.04|2301.24|America/Los_Angeles|USA|USD|129|129|97|estimate|https://www.onthesnow.com/california/bear-valley/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=38.48&longitude=-120.04&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2301.24
